TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionDate,TransactionTime,TransactionAmount,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,EmailDomain,Terrorism,UserTenure,IsFraud,ExpenditureCurrency,GiftsCurrency,TransactionDatetime,TransactionCurrency
10840,3288,52,Female,Professional,Master,Single,1,40702.41,21169.11,63.55,2023-10-24,16:28:04,97.07,M008,Purchase,Canberra,Mobile,-31.840233,145.612793,chapmankeith@gmail.com,False,107,0,AUD,GBP,2023-10-24 16:28:04,AUD
8798,358,56,Male,Student,Bachelor,Widowed,3,58628.6,17873.88,1082.43,2023-09-29,22:29:05,672.06,M008,Withdrawal,Darwin,Mobile,-20.917574,142.702789,robinsonjean@gmail.com,False,20,1,AUD,GBP,2023-09-29 22:29:05,AUD
16671,1732,41,Male,Student,Bachelor,Married,2,85310.21,80911.26,4847.91,2023-12-24,20:08:05,1041.61,M006,Purchase,Hobart,Mobile,-20.917574,142.702789,kathryn86@gmail.com,False,80,0,AED,AUD,2023-12-24 20:08:05,AED
4605,3336,31,Male,Professional,High School,Single,0,93197.13,68415.46,3304.34,2023-12-12,21:06:00,527.72,M004,Transfer,Hobart,Mobile,-37.0201,144.9646,crystal01@securemail.com,True,18,0,AUD,GBP,2023-12-12 21:06:00,AUD
8238,4228,35,Male,Retired,Bachelor,Single,3,118437.1,39882.13,2740.89,2023-10-30,19:38:10,19.48,M008,Purchase,Melbourne,Mobile,-37.0201,144.9646,scott47@outlook.com,True,108,0,AUD,GBP,2023-10-30 19:38:10,AUD
10643,2006,41,Female,Professional,Bachelor,Single,2,68140.84,21877.39,2370.43,2023-04-15,05:14:44,3.41,M008,Purchase,Sydney,Desktop,-37.0201,144.9646,blevinsangela@gmail.com,False,9,1,AUD,GBP,2023-04-15 05:14:44,AUD
1835,65,21,Female,Professional,Bachelor,Divorced,1,53705.83,41566.98,1951.75,2023-10-28,05:42:44,65.21,M006,Purchase,Brisbane,Tablet,-37.0201,144.9646,larry74@securemail.com,True,100,1,AUD,GBP,2023-10-28 05:42:44,AUD
17034,1116,32,Female,Professional,High School,Married,1,60108.48,60993.62,2331.67,2023-04-12,01:46:26,83.52,M006,Purchase,Adelaide,Mobile,-37.0201,144.9646,owensbrianna@gmail.com,False,104,1,AED,AUD,2023-04-12 01:46:26,AED
8097,4530,18,Male,Unemployed,Bachelor,Widowed,0,58974.57,33755.03,333.98,2023-12-23,16:43:20,384.7,M003,Purchase,Perth,Mobile,-37.0201,144.9646,adrianbarker@securemail.com,False,45,0,AUD,GBP,2023-12-23 16:43:20,AUD
15195,4143,30,Female,Professional,High School,Single,4,127088.35,131498.77,15901.04,2023-12-15,02:29:35,850.36,M002,Purchase,Hobart,Mobile,-25.042261,117.793221,dawnnguyen@disposable.com,False,82,1,AED,AUD,2023-12-15 02:29:35,AED
8237,1162,29,Female,Student,Bachelor,Married,1,42903.25,31294.62,2936.4,2023-12-02,11:18:44,161.54,M001,Payment,Melbourne,Mobile,-20.917574,142.702789,philip96@gmail.com,True,101,0,AUD,GBP,2023-12-02 11:18:44,AUD
16688,1737,36,Male,Professional,High School,Married,1,68350.31,60727.89,873.61,2023-09-24,00:24:13,212.82,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,vickie12@gmail.com,False,16,1,AED,AUD,2023-09-24 00:24:13,AED
17924,382,35,Female,Student,High School,Single,0,78404.02,99725.62,6948.17,2023-10-08,08:53:21,1055.43,M008,Purchase,Melbourne,Mobile,-37.0201,144.9646,kclark@gmail.com,False,11,0,AED,AUD,2023-10-08 08:53:21,AED
5852,2587,28,Female,Professional,Bachelor,Single,1,66233.88,23587.19,9162.02,2023-09-25,23:21:12,119.03,M003,Payment,Brisbane,Mobile,-30.000233,136.209152,karen60@tempmail.com,True,48,0,AUD,GBP,2023-09-25 23:21:12,AUD
11620,3113,31,Female,Professional,High School,Married,2,127411.46,54214.57,3895.3,2023-11-20,21:55:22,106.33,M002,Purchase,Hobart,Desktop,-31.840233,145.612793,ybrown@yahoo.com,False,95,0,AUD,GBP,2023-11-20 21:55:22,AUD
9616,1371,30,Male,Professional,High School,Widowed,4,53477.15,30523.44,2239.89,2023-11-21,11:01:45,137.75,M006,Purchase,Canberra,Mobile,-31.840233,145.612793,melissaknight@yahoo.com,False,37,0,AUD,GBP,2023-11-21 11:01:45,AUD
18255,1066,28,Female,Retired,Bachelor,Single,1,75889.65,69676.4,5576.9,2023-09-06,15:59:49,575.77,M008,Transfer,Perth,Tablet,-31.840233,145.612793,james95@gmail.com,False,113,0,AED,AUD,2023-09-06 15:59:49,AED
18023,2358,21,Male,Student,Master,Single,0,66119.48,69237.69,4513.98,2023-10-25,16:45:46,2662.67,M004,Payment,Sydney,Mobile,-31.840233,145.612793,ocarey@tempmail.com,False,67,0,AED,AUD,2023-10-25 16:45:46,AED
6826,2854,37,Female,Professional,Bachelor,Married,1,77572.19,31716.53,2787.96,2023-07-07,17:26:41,593.4,M001,Purchase,Adelaide,Mobile,-37.0201,144.9646,hesterolivia@outlook.com,False,51,0,AUD,GBP,2023-07-07 17:26:41,AUD
477,453,52,Male,Student,Bachelor,Married,1,155909.72,74590.43,14787.59,2023-07-08,01:49:04,21.97,M001,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,lisa99@gmail.com,True,68,1,AUD,GBP,2023-07-08 01:49:04,AUD
11409,4165,37,Male,Professional,High School,Married,1,34730.55,25960.05,966.05,2023-09-23,18:51:22,52.7,M007,Purchase,Melbourne,Mobile,-31.840233,145.612793,alanbradley@yahoo.com,False,17,0,AUD,GBP,2023-09-23 18:51:22,AUD
8031,4867,31,Female,Student,High School,Widowed,1,61718.9,41013.99,2422.87,2023-12-26,16:02:38,1360.31,M001,Transfer,Brisbane,Tablet,-20.917574,142.702789,todd77@gmail.com,True,18,0,AUD,GBP,2023-12-26 16:02:38,AUD
4190,3207,42,Male,Professional,High School,Married,1,56576.53,22365.56,361.54,2023-06-11,02:22:12,34.95,M004,Purchase,Darwin,Desktop,-37.0201,144.9646,cynthia27@tempmail.com,False,106,1,AUD,GBP,2023-06-11 02:22:12,AUD
18053,4138,55,Female,Professional,High School,Married,3,73516.82,89267.42,7842.88,2023-04-18,08:39:30,7.23,M008,Payment,Canberra,Mobile,-41.640079,146.315918,jonathan21@gmail.com,False,89,0,AED,AUD,2023-04-18 08:39:30,AED
11529,3617,18,Female,Unemployed,High School,Married,2,52486.36,32370.19,7539.46,2023-12-02,18:32:11,198.41,M003,Withdrawal,Sydney,Mobile,-31.840233,145.612793,olucero@gmail.com,False,16,1,AUD,GBP,2023-12-02 18:32:11,AUD
13655,2273,40,Male,Student,Bachelor,Married,4,119498.91,57677.54,9704.66,2023-12-08,14:20:13,82.03,M006,Purchase,Sydney,Mobile,-31.840233,145.612793,rubiochristopher@outlook.com,False,35,0,AUD,GBP,2023-12-08 14:20:13,AUD
642,3609,48,Female,Unemployed,High School,Married,4,40163.34,30880.64,1509.99,2023-01-08,06:05:34,26.69,M008,Transfer,Adelaide,Desktop,-30.000233,136.209152,tiffany51@gmail.com,False,47,0,AUD,GBP,2023-01-08 06:05:34,AUD
549,4714,40,Male,Student,Bachelor,Single,2,69175.91,33882.72,6838.19,2023-03-19,02:02:26,764.01,M004,Purchase,Adelaide,Mobile,-31.840233,145.612793,cooperbradley@yahoo.com,False,65,1,AUD,GBP,2023-03-19 02:02:26,AUD
15136,1838,40,Female,Professional,Master,Single,2,112448.56,139029.37,2275.96,2023-10-07,20:56:31,33.17,M005,Purchase,Canberra,Mobile,-31.840233,145.612793,sboyd@outlook.com,False,68,0,AED,AUD,2023-10-07 20:56:31,AED
15759,1639,26,Male,Professional,High School,Divorced,1,56790.7,74377.3,1879.51,2023-11-17,16:14:02,1044.08,M005,Withdrawal,Hobart,Desktop,-41.640079,146.315918,diana83@gmail.com,False,8,1,AED,AUD,2023-11-17 16:14:02,AED
15629,1131,35,Female,Student,PhD,Widowed,3,72725.88,142454.94,5417.49,2023-12-30,07:41:09,1914.83,M007,Payment,Perth,Mobile,-37.0201,144.9646,lanemichelle@gmail.com,False,92,0,AED,AUD,2023-12-30 07:41:09,AED
1793,2978,53,Male,Professional,Master,Married,3,57004.46,20461.87,2476.64,2023-12-28,21:23:13,573.81,M004,Purchase,Melbourne,Mobile,-31.840233,145.612793,christopher78@tempmail.com,False,55,0,AUD,GBP,2023-12-28 21:23:13,AUD
8632,1117,27,Male,Professional,Bachelor,Divorced,3,92112.83,70062.72,3743.54,2023-06-01,19:01:18,175.78,M005,Purchase,Perth,Mobile,-37.0201,144.9646,umorrow@outlook.com,False,92,0,AUD,GBP,2023-06-01 19:01:18,AUD
5430,4343,35,Male,Professional,Bachelor,Married,4,32736.66,19165.33,1291.25,2023-07-04,14:49:59,378.8,M007,Purchase,Hobart,Mobile,-25.042261,117.793221,john87@gmail.com,False,24,0,AUD,GBP,2023-07-04 14:49:59,AUD
11521,2563,35,Male,Student,High School,Married,2,69667.7,46004.0,7073.08,2023-12-08,00:41:54,368.75,M006,Payment,Adelaide,Mobile,-31.840233,145.612793,jerryharvey@gmail.com,False,59,1,AUD,GBP,2023-12-08 00:41:54,AUD
493,1145,43,Female,Professional,Bachelor,Widowed,1,183749.38,144467.1,2485.52,2023-01-27,17:02:41,101.64,M004,Purchase,Darwin,Mobile,-20.917574,142.702789,stevensanthony@disposable.com,False,28,0,AUD,GBP,2023-01-27 17:02:41,AUD
11628,514,34,Male,Professional,High School,Single,0,53924.18,17504.94,4600.24,2023-08-20,06:00:48,796.23,M001,Purchase,Brisbane,Desktop,-25.042261,117.793221,charles60@outlook.com,False,81,0,AUD,GBP,2023-08-20 06:00:48,AUD
4253,1071,44,Male,Retired,High School,Married,1,34785.24,26800.42,4650.15,2023-09-04,20:52:20,332.25,M006,Purchase,Brisbane,Mobile,-20.917574,142.702789,ndavis@gmail.com,True,68,0,AUD,GBP,2023-09-04 20:52:20,AUD
13128,2303,26,Male,Retired,Master,Single,1,138804.27,70992.28,5712.87,2023-06-09,17:03:25,100.12,M005,Transfer,Adelaide,Tablet,-37.0201,144.9646,castillodavid@yahoo.com,False,36,0,AUD,GBP,2023-06-09 17:03:25,AUD
14470,244,44,Male,Student,High School,Married,2,40395.6,32224.49,1036.47,2023-12-30,16:31:23,30.26,M008,Purchase,Brisbane,Desktop,-25.042261,117.793221,showard@tempmail.com,True,6,0,AUD,GBP,2023-12-30 16:31:23,AUD
1463,1682,33,Male,Professional,High School,Single,3,51150.96,21483.6,2050.69,2023-07-24,22:07:29,469.03,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,johnsonjulie@disposable.com,True,3,0,AUD,GBP,2023-07-24 22:07:29,AUD
11256,2856,38,Female,Professional,Bachelor,Married,1,44345.81,13965.6,18.21,2023-07-11,02:07:25,692.53,M008,Withdrawal,Canberra,Desktop,40.43026,50.03598,lucasvictoria@outlook.com,False,112,1,AUD,GBP,2023-07-11 02:07:25,AUD
11248,4267,24,Male,Student,Bachelor,Married,1,128661.48,57467.0,3658.89,2023-07-02,01:49:23,64.39,M003,Transfer,Perth,Tablet,-20.917574,142.702789,phillipspatricia@yahoo.com,False,11,1,AUD,GBP,2023-07-02 01:49:23,AUD
14084,778,34,Male,Student,High School,Married,2,77998.78,57689.04,1449.55,2023-10-27,20:19:38,287.38,M006,Withdrawal,Perth,Desktop,-37.0201,144.9646,cindymiller@tempmail.com,True,64,1,AUD,GBP,2023-10-27 20:19:38,AUD
14155,3123,33,Male,Professional,High School,Married,3,54910.78,23014.21,1027.36,2023-12-29,22:32:41,248.25,M003,Purchase,Brisbane,Desktop,-20.917574,142.702789,longjeremy@yahoo.com,True,62,0,AUD,GBP,2023-12-29 22:32:41,AUD
14073,620,37,Female,Unemployed,High School,Single,1,138550.41,79990.08,2214.27,2023-01-30,00:07:39,3.98,M007,Withdrawal,Brisbane,Desktop,-20.917574,142.702789,josemartin@gmail.com,False,105,1,AUD,GBP,2023-01-30 00:07:39,AUD
2287,307,31,Male,Professional,High School,Married,3,25062.03,13213.16,836.12,2023-09-20,03:54:48,54.14,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,kimberly63@tempmail.com,False,71,1,AUD,GBP,2023-09-20 03:54:48,AUD
17304,873,44,Female,Professional,High School,Widowed,3,35631.99,27943.13,10919.03,2023-05-29,07:19:28,37.55,M003,Payment,Melbourne,Mobile,-37.0201,144.9646,nancy85@gmail.com,False,88,0,AED,AUD,2023-05-29 07:19:28,AED
11630,3567,48,Male,Professional,Bachelor,Married,3,124930.64,50236.33,2951.09,2023-08-10,23:17:17,356.26,M002,Transfer,Adelaide,Mobile,-20.917574,142.702789,ychavez@tempmail.com,False,58,0,AUD,GBP,2023-08-10 23:17:17,AUD
8696,630,34,Male,Professional,High School,Single,2,33147.62,17387.2,1698.65,2023-11-29,17:16:50,261.17,M005,Transfer,Canberra,Mobile,-25.042261,117.793221,shawnawright@outlook.com,False,118,0,AUD,GBP,2023-11-29 17:16:50,AUD
965,4831,28,Female,Professional,High School,Married,3,67826.46,26706.2,10187.99,2023-02-06,05:15:00,11.37,M007,Purchase,Darwin,Mobile,-37.0201,144.9646,ashleemiller@gmail.com,False,73,1,AUD,GBP,2023-02-06 05:15:00,AUD
444,1813,18,Female,Professional,High School,Married,0,42262.54,25487.01,3540.34,2023-11-02,00:00:00,3138.62,M003,Transfer,Perth,Mobile,-31.840233,145.612793,rodriguezbrandon@outlook.com,False,1,1,AUD,GBP,2023-11-02 00:00:00,AUD
9938,100,18,Male,Retired,Bachelor,Single,3,53376.26,35148.54,17.47,2023-07-03,13:33:40,193.01,M008,Purchase,Hobart,Mobile,-20.917574,142.702789,jeffrey29@yahoo.com,False,117,0,AUD,GBP,2023-07-03 13:33:40,AUD
6348,2703,19,Male,Professional,Bachelor,Single,0,33945.55,22299.88,1539.72,2023-12-15,11:36:23,99.08,M008,Payment,Perth,Desktop,-31.840233,145.612793,danieltiffany@outlook.com,False,32,0,AUD,GBP,2023-12-15 11:36:23,AUD
6674,2178,34,Male,Student,Bachelor,Married,2,48259.54,23273.78,506.32,2023-07-06,18:09:20,326.57,M008,Purchase,Brisbane,Mobile,-20.917574,142.702789,lmartinez@yahoo.com,False,43,0,AUD,GBP,2023-07-06 18:09:20,AUD
438,2042,36,Female,Student,Master,Single,3,65986.34,39396.63,6550.37,2023-05-03,00:00:00,950.76,M007,Transfer,Melbourne,Mobile,-31.840233,145.612793,oliviamurillo@gmail.com,False,33,0,AUD,GBP,2023-05-03 00:00:00,AUD
7821,1054,27,Male,Unemployed,Master,Divorced,4,73110.26,33051.85,3527.03,2023-05-11,01:24:38,807.58,M006,Purchase,Melbourne,Mobile,-25.042261,117.793221,nicolebaker@gmail.com,False,47,0,AUD,GBP,2023-05-11 01:24:38,AUD
11368,4621,36,Female,Professional,Bachelor,Single,3,78277.17,23843.38,396.48,2023-12-17,12:03:07,220.4,M005,Purchase,Melbourne,Mobile,-35.473469,149.012375,fnicholson@gmail.com,True,110,0,AUD,GBP,2023-12-17 12:03:07,AUD
13551,3337,51,Male,Student,PhD,Single,4,59894.19,47913.54,646.16,2023-09-18,23:59:59,534.18,M002,Withdrawal,Sydney,Desktop,-31.840233,145.612793,angela54@outlook.com,True,44,1,AUD,GBP,2023-09-18 23:59:59,AUD
17189,1454,27,Male,Professional,Bachelor,Married,1,36151.65,53838.51,3617.7,2023-01-16,15:30:52,4349.67,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,awatson@tempmail.com,False,33,0,AED,AUD,2023-01-16 15:30:52,AED
5740,3666,61,Male,Professional,High School,Single,2,119230.48,44520.03,8034.04,2023-06-12,21:44:58,201.03,M001,Purchase,Brisbane,Mobile,-37.0201,144.9646,april17@gmail.com,True,32,0,AUD,GBP,2023-06-12 21:44:58,AUD
1494,950,52,Male,Professional,Bachelor,Married,2,76724.76,42300.82,5789.33,2023-09-17,10:40:13,130.12,M005,Purchase,Melbourne,Mobile,-25.042261,117.793221,charlescooper@gmail.com,False,24,0,AUD,GBP,2023-09-17 10:40:13,AUD
9515,1794,43,Female,Student,High School,Married,4,71753.44,51918.74,2264.95,2023-11-18,00:58:49,30.14,M005,Transfer,Adelaide,Desktop,-20.917574,142.702789,bward@securemail.com,False,64,1,AUD,GBP,2023-11-18 00:58:49,AUD
17679,2883,43,Female,Unemployed,Master,Single,3,72020.18,116316.02,11415.85,2023-07-07,21:09:43,187.16,M005,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,scottchandler@gmail.com,True,93,1,AED,AUD,2023-07-07 21:09:43,AED
13796,3798,33,Male,Student,High School,Single,1,94374.04,43303.66,817.51,2023-12-26,18:43:35,430.47,M002,Withdrawal,Sydney,Desktop,-20.917574,142.702789,michael04@yahoo.com,True,118,1,AUD,GBP,2023-12-26 18:43:35,AUD
3751,4723,36,Female,Professional,Bachelor,Married,4,48425.06,32665.25,2231.87,2023-06-17,08:22:50,161.44,M004,Purchase,Darwin,Mobile,-35.473469,149.012375,wsloan@gmail.com,False,117,0,AUD,GBP,2023-06-17 08:22:50,AUD
14399,3250,52,Male,Professional,Bachelor,Single,2,55666.31,29339.16,825.05,2023-11-18,01:40:23,47.88,M005,Purchase,Perth,Mobile,-31.840233,145.612793,walkerjane@yahoo.com,False,33,1,AUD,GBP,2023-11-18 01:40:23,AUD
756,3989,28,Male,Professional,Bachelor,Married,3,73539.45,23824.09,945.49,2023-06-13,19:54:28,1342.2,M001,Purchase,Adelaide,Mobile,-37.0201,144.9646,nicholasreeves@yahoo.com,False,55,0,AUD,GBP,2023-06-13 19:54:28,AUD
17384,2057,28,Female,Professional,Master,Single,0,132714.06,149603.61,27126.77,2023-01-16,12:18:48,771.63,M005,Transfer,Melbourne,Mobile,-37.0201,144.9646,hhunter@yahoo.com,False,108,0,AED,AUD,2023-01-16 12:18:48,AED
7512,4701,46,Female,Unemployed,Bachelor,Married,1,84164.8,45706.72,874.51,2023-04-26,12:15:50,27.43,M006,Purchase,Adelaide,Mobile,-37.0201,144.9646,mikesullivan@yahoo.com,False,27,0,AUD,GBP,2023-04-26 12:15:50,AUD
2688,10,32,Male,Student,Bachelor,Married,2,73827.19,42587.24,2818.46,2023-03-05,11:23:29,219.24,M006,Payment,Perth,Mobile,-31.840233,145.612793,andrew59@gmail.com,False,3,0,AUD,GBP,2023-03-05 11:23:29,AUD
5186,2132,18,Female,Student,Bachelor,Single,1,135586.41,91539.67,4382.8,2023-10-23,00:00:00,25.93,M007,Payment,Darwin,Mobile,-20.917574,142.702789,sherry65@gmail.com,True,72,1,AUD,GBP,2023-10-23 00:00:00,AUD
10206,3882,39,Male,Unemployed,Bachelor,Married,0,58818.24,35177.33,2757.33,2023-05-06,19:05:30,987.29,M005,Purchase,Sydney,Desktop,-37.0201,144.9646,marshalljennifer@disposable.com,False,17,0,AUD,GBP,2023-05-06 19:05:30,AUD
8352,3379,32,Male,Professional,High School,Married,4,23521.53,15858.68,1086.98,2023-11-18,06:18:12,136.02,M002,Withdrawal,Melbourne,Tablet,-25.042261,117.793221,francesjoseph@yahoo.com,False,65,0,AUD,GBP,2023-11-18 06:18:12,AUD
17319,4931,18,Male,Retired,High School,Single,1,63479.88,104783.13,16523.71,2023-10-31,06:35:41,237.52,M005,Transfer,Darwin,Mobile,-35.473469,149.012375,hjohnson@outlook.com,False,27,0,AED,AUD,2023-10-31 06:35:41,AED
3958,2344,43,Female,Professional,High School,Married,4,87174.54,67460.82,2223.43,2023-12-13,19:29:55,14.45,M001,Purchase,Canberra,Desktop,-37.0201,144.9646,julie68@yahoo.com,False,18,0,AUD,GBP,2023-12-13 19:29:55,AUD
915,2334,52,Female,Professional,Bachelor,Married,3,65600.23,39500.33,38.77,2023-10-13,02:53:11,915.19,M002,Purchase,Darwin,Desktop,-20.917574,142.702789,josephhill@tempmail.com,True,80,1,AUD,GBP,2023-10-13 02:53:11,AUD
9742,1078,30,Male,Professional,High School,Single,0,116632.87,78473.93,7428.86,2023-09-24,16:36:27,813.55,M002,Payment,Perth,Mobile,-25.042261,117.793221,jameskaren@gmail.com,False,110,0,AUD,GBP,2023-09-24 16:36:27,AUD
4511,418,50,Male,Professional,High School,Single,0,80923.88,57337.42,1657.13,2023-11-20,23:59:59,424.48,M006,Purchase,Brisbane,Desktop,-37.0201,144.9646,adam31@gmail.com,False,55,0,AUD,GBP,2023-11-20 23:59:59,AUD
10460,2882,48,Male,Professional,Bachelor,Married,4,75369.95,30721.58,1165.58,2023-10-02,01:12:53,1520.84,M005,Purchase,Darwin,Mobile,-31.840233,145.612793,julie32@outlook.com,False,94,1,AUD,GBP,2023-10-02 01:12:53,AUD
11039,1483,50,Male,Professional,High School,Divorced,1,62189.18,25646.64,8597.08,2023-12-14,16:01:28,5.07,M004,Purchase,Sydney,Mobile,-31.840233,145.612793,pamelahartman@gmail.com,False,48,0,AUD,GBP,2023-12-14 16:01:28,AUD
17712,1211,28,Male,Unemployed,Bachelor,Married,1,89020.1,113917.72,1154.15,2023-06-08,23:13:20,242.59,M005,Payment,Sydney,Mobile,-31.840233,145.612793,elizabethbenjamin@yahoo.com,False,64,0,AED,AUD,2023-06-08 23:13:20,AED
12615,4504,51,Female,Student,Bachelor,Single,0,96239.76,72885.51,6731.35,2023-08-25,18:21:48,1309.29,M003,Transfer,Darwin,Mobile,-31.840233,145.612793,natalie81@outlook.com,False,68,0,AUD,GBP,2023-08-25 18:21:48,AUD
17071,1465,28,Female,Professional,High School,Married,1,44196.64,50762.41,2338.85,2023-12-24,17:13:16,247.59,M004,Purchase,Adelaide,Desktop,-20.917574,142.702789,chapmantammy@gmail.com,False,95,0,AED,AUD,2023-12-24 17:13:16,AED
14793,2654,31,Female,Unemployed,High School,Single,2,72515.21,133896.59,682.91,2023-02-24,14:52:17,60.28,M005,Transfer,Melbourne,Desktop,-20.917574,142.702789,janetaylor@outlook.com,False,16,0,AED,AUD,2023-02-24 14:52:17,AED
6572,4882,41,Female,Retired,Bachelor,Single,0,39728.73,24247.69,2065.05,2023-06-09,23:59:59,193.86,M006,Purchase,Adelaide,Mobile,-31.840233,145.612793,amyperez@gmail.com,False,66,0,AUD,GBP,2023-06-09 23:59:59,AUD
11878,2391,36,Male,Professional,Bachelor,Single,2,83792.92,29021.67,16636.67,2023-05-31,23:18:01,82.89,M005,Purchase,Sydney,Desktop,-31.840233,145.612793,davidsonroberta@gmail.com,False,57,0,AUD,GBP,2023-05-31 23:18:01,AUD
12397,1389,28,Female,Student,Bachelor,Single,4,93565.48,30483.18,2671.01,2023-07-15,14:57:28,461.04,M001,Transfer,Canberra,Mobile,-31.840233,145.612793,mooredavid@gmail.com,False,62,0,AUD,GBP,2023-07-15 14:57:28,AUD
5215,2221,36,Male,Professional,High School,Single,1,100540.85,49337.05,2924.21,2023-12-13,02:48:59,90.46,M001,Purchase,Sydney,Desktop,-20.917574,142.702789,james12@yahoo.com,False,52,1,AUD,GBP,2023-12-13 02:48:59,AUD
15190,1993,27,Male,Unemployed,High School,Married,1,62940.39,61059.11,14279.17,2023-07-21,15:35:40,130.45,M003,Purchase,Brisbane,Mobile,-41.640079,146.315918,cassandrathompson@gmail.com,False,105,0,AED,AUD,2023-07-21 15:35:40,AED
15038,688,29,Male,Student,Bachelor,Single,1,78935.75,67470.19,2038.91,2023-10-04,18:59:58,2594.62,M006,Payment,Darwin,Desktop,-25.042261,117.793221,vjohnson@gmail.com,False,95,0,AED,AUD,2023-10-04 18:59:58,AED
16331,3130,34,Male,Student,High School,Married,4,78476.8,133853.26,4693.01,2023-07-25,05:59:00,414.62,M006,Purchase,Brisbane,Mobile,-37.0201,144.9646,randycampbell@gmail.com,False,49,1,AED,AUD,2023-07-25 05:59:00,AED
17403,180,35,Female,Student,Bachelor,Married,3,124855.28,167184.4,5435.46,2023-11-28,23:59:59,4396.93,M005,Transfer,Canberra,Mobile,-31.840233,145.612793,xjackson@yahoo.com,False,42,0,AED,AUD,2023-11-28 23:59:59,AED
9808,378,41,Male,Professional,High School,Married,2,58620.06,39326.07,5504.35,2023-11-27,12:23:32,41.78,M006,Purchase,Melbourne,Mobile,-31.840233,145.612793,lindarodriguez@gmail.com,False,80,0,AUD,GBP,2023-11-27 12:23:32,AUD
12590,2315,31,Male,Professional,High School,Married,1,70090.35,49408.28,10641.88,2023-12-30,06:20:57,127.51,M008,Purchase,Perth,Desktop,-25.042261,117.793221,davidrodriguez@yahoo.com,False,6,0,AUD,GBP,2023-12-30 06:20:57,AUD
16323,4361,44,Female,Professional,Bachelor,Single,1,72238.44,121523.38,6813.78,2023-05-05,11:14:06,78.48,M008,Payment,Brisbane,Desktop,-20.917574,142.702789,hopkinsstacey@yahoo.com,False,107,0,AED,AUD,2023-05-05 11:14:06,AED
